ltable_id,rtable_id,label,block_id
0,1878,1,pack
142,1962,0,pack
211,2512,0,pack
248,1720,0,pack
392,1878,0,pack
460,2512,1,pack
531,1720,0,pack
580,1823,0,pack
26,2393,0,premieremier
157,1735,0,premieremier
620,2393,0,premieremier
892,2393,0,premieremier
521,1864,0,dvd
523,3094,0,dvd
542,2236,0,dvd
550,3094,0,dvd
584,3094,0,dvd
591,2236,0,dvd
733,2934,1,dvd
802,2247,0,dvd
816,1852,0,dvd
816,1864,0,dvd
860,2236,1,dvd
1187,2934,0,dvd
253,2174,0,8
654,1447,0,8
779,2100,0,8
814,3145,0,8
1078,2083,0,8
1078,2100,1,8
1293,1447,0,8
15,3089,0,3
107,3213,0,3
208,1971,0,3
233,3154,0,3
251,1747,0,3
267,3213,0,3
273,3092,0,3
364,3213,0,3
473,2485,1,3
484,3019,0,3
484,3213,0,3
527,3019,0,3
527,3213,0,3
546,3213,0,3
649,1477,0,3
722,2130,0,3
1024,2399,0,3
419,3001,0,s
802,2247,0,s
916,2557,1,s
1026,2247,0,s
443,3126,0,premiuremium
564,2532,0,premiuremium
579,2532,1,premiuremium
631,2532,0,premiuremium
443,3126,0,premiu
564,2532,0,premiu
579,2532,1,premiu
631,2532,0,premiu
70,1485,0,2007
79,1907,0,2007
175,1485,1,2007
212,1485,0,2007
255,1485,0,2007
271,2497,0,2007
271,2847,0,2007
271,2848,0,2007
312,2525,0,2007
312,3168,0,2007
316,1907,0,2007
346,1907,0,2007
377,1907,0,2007
425,3036,0,2007
511,2497,0,2007
511,2847,0,2007
511,2848,0,2007
522,2364,0,2007
522,2847,1,2007
522,2848,0,2007
541,2364,0,2007
541,2847,0,2007
541,2848,0,2007
547,2364,0,2007
547,2847,0,2007
547,2848,0,2007
571,2497,0,2007
571,2847,0,2007
571,2848,0,2007
578,2497,0,2007
578,2847,0,2007
578,2848,0,2007
586,1485,0,2007
587,2364,0,2007
587,2497,0,2007
587,2847,0,2007
587,2848,0,2007
604,2497,0,2007
604,2847,0,2007
604,2848,0,2007
858,2497,0,2007
858,2847,0,2007
858,2848,1,2007
895,3036,0,2007
934,2525,0,2007
934,3168,0,2007
1020,2345,0,2007
1022,1907,0,2007
1055,2345,0,2007
1310,2525,0,2007
1310,3168,0,2007
881,2018,0,by
946,2018,0,by
1066,2018,0,by
1068,2018,0,by
1076,2018,0,by
1110,2018,1,by
13,2425,0,softwaoftwarftware
13,2813,0,softwaoftwarftware
27,1525,0,softwaoftwarftware
27,2123,0,softwaoftwarftware
27,2792,0,softwaoftwarftware
27,2998,0,softwaoftwarftware
59,2119,1,softwaoftwarftware
72,1567,1,softwaoftwarftware
72,3110,0,softwaoftwarftware
92,2219,0,softwaoftwarftware
92,2714,0,softwaoftwarftware
135,1763,0,softwaoftwarftware
210,2122,0,softwaoftwarftware
244,2423,0,softwaoftwarftware
244,2803,0,softwaoftwarftware
258,2423,0,softwaoftwarftware
258,2803,0,softwaoftwarftware
271,1512,1,softwaoftwarftware
271,2137,0,softwaoftwarftware
271,2165,0,softwaoftwarftware
271,2206,0,softwaoftwarftware
271,2332,0,softwaoftwarftware
271,2411,0,softwaoftwarftware
271,3145,0,softwaoftwarftware
271,3215,0,softwaoftwarftware
284,2192,0,softwaoftwarftware
287,1525,0,softwaoftwarftware
287,2141,0,softwaoftwarftware
287,2192,0,softwaoftwarftware
287,2792,0,softwaoftwarftware
287,2839,0,softwaoftwarftware
287,2998,0,softwaoftwarftware
287,3214,0,softwaoftwarftware
388,2145,0,softwaoftwarftware
393,2803,0,softwaoftwarftware
408,2813,0,softwaoftwarftware
432,2398,0,softwaoftwarftware
436,2783,1,softwaoftwarftware
436,2785,0,softwaoftwarftware
479,2418,0,softwaoftwarftware
479,2452,1,softwaoftwarftware
482,3130,0,softwaoftwarftware
490,2441,0,softwaoftwarftware
490,2803,1,softwaoftwarftware
498,2131,0,softwaoftwarftware
498,2153,0,softwaoftwarftware
501,2165,0,softwaoftwarftware
510,2845,0,softwaoftwarftware
512,2154,0,softwaoftwarftware
512,2412,0,softwaoftwarftware
512,2441,0,softwaoftwarftware
512,2792,0,softwaoftwarftware
512,2803,0,softwaoftwarftware
513,2131,0,softwaoftwarftware
513,2153,0,softwaoftwarftware
548,2104,0,softwaoftwarftware
548,2122,0,softwaoftwarftware
548,2146,0,softwaoftwarftware
548,2530,0,softwaoftwarftware
548,3034,0,softwaoftwarftware
548,3145,0,softwaoftwarftware
570,2412,0,softwaoftwarftware
570,2745,0,softwaoftwarftware
636,2131,0,softwaoftwarftware
636,2153,1,softwaoftwarftware
689,2002,0,softwaoftwarftware
691,2781,1,softwaoftwarftware
693,2783,0,softwaoftwarftware
695,2777,0,softwaoftwarftware
696,3110,0,softwaoftwarftware
703,2787,1,softwaoftwarftware
705,2008,0,softwaoftwarftware
707,2783,0,softwaoftwarftware
707,2785,1,softwaoftwarftware
712,2343,0,softwaoftwarftware
719,3110,0,softwaoftwarftware
722,2130,0,softwaoftwarftware
722,2156,0,softwaoftwarftware
722,2175,0,softwaoftwarftware
